# Module-size ratchet ceilings (containment sprint). Enforced by
# scripts/check-module-size.sh via `bun run check:module-size` (in verify).
# Raising a ceiling is a conscious, reviewer-visible act. Lower ceilings in
# the same commit as any peel (the guard fails on >50 lines of stale slack).
# Columns: path	max_lines	policy	note
src/commands/doctor.ts	4422	ratchet	grown v0.46.28.0 megawave: silent-death checks, self-upgrade honesty, noise pruning (#3944 #3925 #3958)
src/core/operations.ts	315	ratchet	peel target: containment sprint C4-C7; grown v0.46.28.0 operation wiring
src/core/postgres-engine.ts	6166	ratchet	grown v0.46.28.0 parity, usage, and private-queue surfaces
src/core/pglite-engine.ts	6062	ratchet	grown v0.46.28.0 parity and private-queue surfaces
src/core/migrate.ts	687	region-exempt	append-only MIGRATIONS array grows freely; runner logic is ratcheted
src/commands/sync.ts	4512	ratchet	grown v0.46.28.0 image sync, ingest gating, dry-run purity, and audited path handling
src/core/ai/gateway.ts	4494	ratchet	grown v0.46.28.0 config-plane probes and halt telemetry
src/cli.ts	3730	ratchet	v0.46.28 reconciliation: upstream reaper and failure surfacing plus ActVox teardown verdict
src/core/cycle.ts	3171	ratchet	grown v0.46.28.0 cycle recovery and phase boundaries
src/commands/serve-http.ts	3307	ratchet	v0.46.28 reconciliation: per-request cleanup plus ActVox HTTP lifecycle/CORS hardening
src/commands/jobs.ts	3132	ratchet	v0.46.28 reconciliation: worker recovery plus ActVox source-aware DB extraction
src/core/search/hybrid.ts	3077	ratchet	v0.46.28 reconciliation: CRAG/relational visibility plus ActVox operational-memory injection
src/core/engine.ts	2495	ratchet	grown v0.46.28.0 relational, visibility, and usage contracts
src/commands/autopilot.ts	2641	ratchet	grown v0.46.28.0 env-file, path, and recovery hardening
src/commands/extract.ts	2392	ratchet	v0.46.28 reconciliation: upstream timeline/rebuild fixes through ActVox DB-source core
src/commands/extract-conversation-facts.ts	2045	ratchet	grown v0.46.x per-provider gateway-unavailable copy
src/core/import-file.ts	2142	ratchet	grown v0.46.26.0 megawave: OCR budget + image import + embed-retry rewire (#3973 #3374)
src/core/cycle/synthesize.ts	2792	ratchet	merged waves; grown v0.46.26.0 megawave + master rolling lease via shared throttled renewer
src/commands/embed.ts	1896	ratchet	lowered v0.46.26.0: embedBatchWithBackoff + retry cluster peeled to core/embed-retry.ts (core/commands layering fix)
src/core/types.ts	1946	ratchet	grown v0.46.26.0 megawave: EvidenceOpts, pacing/usage result fields, PageFilters growth (#4352 #4218)
src/commands/skillpack.ts	1360	ratchet
src/core/minions/queue.ts	2442	ratchet	grown #4078 + megawave probe-liveness unlatch (#4310) + master private-queue lifecycle: recovery classifier + monotonic lease
src/commands/init.ts	1950	ratchet	grown v0.46.x keyless capability notices
src/commands/integrations.ts	1736	ratchet	grown v0.46.26.0 megawave (#4039 connector compat) + 1 nosemgrep dataflow annotation (path-traversal audit)
src/core/minions/handlers/subagent.ts	1825	ratchet	merged: master v131 settle rework + dream-wave C5 peel + C6 accounting + C7 lease heartbeats/lost-lease aborts + C9 oneshot dispatch + adversarial fix batches; grown by #4078 subagent-loop capability fix
src/commands/bootstrap.ts	2010	ratchet	grandfathered at merge (grew past the 1500 cap on master); raised for #4066 HOME_WORKSPACE_GUARD_EXEMPT (status/uninstall/harness)
src/core/minions/worker.ts	1560	ratchet	grandfathered at merge (grew past the 1500 cap on master, #4170); grown v0.46.11.0 five-issue wave
src/commands/sources.ts	1790	ratchet	grown v0.46.22.0 phone wave: github source kind (#4104)
src/core/link-extraction.ts	1681	ratchet	grown v0.46.26.0 megawave: link-aware timeline split + delimiter-outside-links (#3957 #4062 #3737)
src/core/embedding-migration.ts	1545	ratchet	new row: crossed 1500 in v0.46.25.0 fix waves (#4305 #4306 chunk-model truth helpers)
src/core/github-source.ts	1560	ratchet	new row: crossed the 1500 unlisted cap in v0.46.23.0 review fix wave (scope-state gating, client hardening, symlink containment)
src/core/bootstrap/harness.ts	1947	ratchet
src/commands/hook.ts	1559	ratchet	cathedral-5 heartbeat extraction offsets part of the BrainBench-seam growth; grown v0.46.26.0 megawave hooks-ipc (#4245)
src/core/chunkers/code.ts	1556	ratchet	new row: crossed the 1500 unlisted cap in v0.46.26.0 megawave (decorated-python defs #3821, version-gate + timeout chunker fixes)
src/core/config.ts	1503	ratchet	new row: crossed the 1500 unlisted cap in v0.46.26.0 megawave (spend-controls hint #3703, config-set validation)
